author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0007,111,111,Plutarchus,Πλούταρχος,Consolatio ad uxorem,Παραμυθητικός εἰς τὴν γυναῖκα τὴν αὑτου,,urn:cts:greekLit:tlg0007.tlg111,1,1
0007,112,112,Plutarchus,Πλούταρχος,Quaestiones Convivales,Συμποσιακῶν προβλημάτων βιβλία,,urn:cts:greekLit:tlg0007.tlg112,1,1
0007,113,113,Plutarchus,Πλούταρχος,Amatorius,Ἐρωτικός,,urn:cts:greekLit:tlg0007.tlg113,1,1
0007,114,114,Plutarchus,Πλούταρχος,Amatoriae narrationes,Ἐρωτικαὶ διγηήσεις,,urn:cts:greekLit:tlg0007.tlg114,1,1
0007,115,115,Plutarchus,Πλούταρχος,Maxime cum principbus philosopho esse diserendum,Περὶ τοῦ ὅτι μάλιστα τοῖς ἡγεμόσι δεῖ τὸν φιλοσοφόν διαλέγεσθαι,,urn:cts:greekLit:tlg0007.tlg115,1,1
0007,116,116,Plutarchus,Πλούταρχος,Ad principem ineruditum,Πρὸς ἡγεμόνα ἀπαίδευτον,,urn:cts:greekLit:tlg0007.tlg116,1,1
0007,117,117,Plutarchus,Πλούταρχος,An seni respublica gerenda sit,Εἰ πρεσβυτέρῳ πολιτευτέον,,urn:cts:greekLit:tlg0007.tlg117,1,1
0007,118,118,Plutarchus,Πλούταρχος,Praecepta gerendae reipublicae,Πολιτικὰ παραγγέλματα,,urn:cts:greekLit:tlg0007.tlg118,1,1
0007,119,119,Plutarchus,Πλούταρχος,De unius in republica dominatione,Περὶ μοναρχίας καὶ δημοκρατίας καὶ ὀλιγαρχίας,,urn:cts:greekLit:tlg0007.tlg119,1,1
0007,120,120,Plutarchus,Πλούταρχος,De vitando aere alieno,Περὶ τοῦ μὴ δεῖν δανείζεσθαι,,urn:cts:greekLit:tlg0007.tlg120,1,1
0007,121,121,Plutarchus,Πλούταρχος,Vitae decem oratorum,Περὶ τῶν δέκα ἡτόρων,,urn:cts:greekLit:tlg0007.tlg121,1,1
0007,122,122,Plutarchus,Πλούταρχος,Comparationis Aristophanis et Menandri compendium,Συγκρίσεως Ἀριστοφάνους καὶ Μενάνδρου ἐπιτομή,,urn:cts:greekLit:tlg0007.tlg122,1,1
0007,123,123,Plutarchus,Πλούταρχος,De Herodoti malignitate,Περὶ τῆς Ἡροδότου κακοηθείας,,urn:cts:greekLit:tlg0007.tlg123,1,1
0007,125,124,Plutarchus,Πλούταρχος,Quaestiones Naturales,Αἴτια φυσικά,,urn:cts:greekLit:tlg0007.tlg125,1,1
0007,126,125,Plutarchus,Πλούταρχος,De faciae quae in orbe lunae apparet,Περὶ τοῦ ἐμφαινομένου προσώπου τῷ κύκλῳ τῆς σελήνης,,urn:cts:greekLit:tlg0007.tlg126,1,1
0007,127,126,Plutarchus,Πλούταρχος,De primo frigido,Περὶ τοῦ πρώτως ψυχροῦ,,urn:cts:greekLit:tlg0007.tlg127,1,1
0007,128,127,Plutarchus,Πλούταρχος,Aquane an ignis sit utilior,Περὶ τοῦ πότερον ὕδωρ ἢ πῦρ χρησιμώτερον,,urn:cts:greekLit:tlg0007.tlg128,1,1
0007,129,128,Plutarchus,Πλούταρχος,De sollertia animalium,Πότερα τῶν ζῴων φρονιμώτερα τὰ χερσαῖα ἢ τὰ ἔνυδρα,,urn:cts:greekLit:tlg0007.tlg129,1,1
